,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2021,preciousachiuwa,F,21,MIA,4,0,15.8,3.3,5.3,.619,0.0,0.0,,3.3,5.3,.619,.619,0.8,2.0,.375,1.3,2.5,3.8,0.5,0.3,0.5,1.5,3.3,7.3
1,2021,stevenadams,C,27,NOP,4,4,29.3,4.0,5.3,.762,0.0,0.0,,4.0,5.3,.762,.762,0.3,1.0,.250,3.0,5.5,8.5,2.0,1.5,1.3,1.5,1.3,8.3
2,2021,bamadebayo,PF,23,MIA,4,4,30.8,7.0,11.3,.622,0.0,0.0,,7.0,11.3,.622,.622,5.0,6.0,.833,1.0,6.3,7.3,5.0,1.0,1.3,4.3,2.3,19.0
3,2021,lamarcusaldridge,C,35,SAS,3,3,26.0,5.3,12.7,.421,0.7,3.7,.182,4.7,9.0,.519,.447,0.7,1.0,.667,0.7,3.7,4.3,2.0,0.0,1.3,1.3,2.7,12.0
4,2021,tyshonalexander,G,22,PHO,2,0,2.5,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0
5,2021,nickeilalexanderwalker,SG,22,NOP,2,0,12.5,2.5,6.0,.417,0.5,1.5,.333,2.0,4.5,.444,.458,1.5,1.5,1.000,0.0,0.5,0.5,2.0,0.5,0.0,1.0,2.0,7.0
6,2021,graysonallen,SG,25,MEM,4,4,23.0,1.0,4.8,.211,0.8,4.0,.188,0.3,0.8,.333,.289,2.0,2.3,.889,1.0,1.8,2.8,2.5,0.3,0.3,0.8,0.3,4.8
7,2021,jarrettallen,C,22,BRK,5,0,22.6,2.8,4.2,.667,0.0,0.0,,2.8,4.2,.667,.667,4.0,5.4,.741,4.4,7.6,12.0,1.2,0.2,1.4,1.8,1.2,9.6
8,2021,kyleanderson,SF,27,MEM,4,4,32.5,5.8,12.8,.451,1.8,5.3,.333,4.0,7.5,.533,.520,2.8,3.5,.786,1.0,7.8,8.8,3.8,0.0,0.8,3.5,2.8,16.0
9,2021,giannisantetokounmpo,PF,26,MIL,5,5,31.4,7.8,16.4,.476,1.2,4.8,.250,6.6,11.6,.569,.512,5.6,9.0,.622,2.0,9.6,11.6,5.4,1.8,0.6,3.6,3.0,22.4
10,2021,kostasantetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
11,2021,thanasisantetokounmpo,SF,28,MIL,4,0,11.5,1.5,2.3,.667,0.3,0.5,.500,1.3,1.8,.714,.722,0.0,0.0,,1.0,1.3,2.3,1.3,0.3,0.3,1.5,2.3,3.3
12,2021,carmeloanthony,PF,36,POR,3,0,23.3,3.3,8.7,.385,0.3,1.3,.250,3.0,7.3,.409,.404,4.7,5.3,.875,0.3,3.0,3.3,1.3,1.0,0.0,0.7,2.0,11.7
13,2021,coleanthony,G,20,ORL,4,0,17.8,2.8,7.5,.367,0.5,2.3,.222,2.3,5.3,.429,.400,2.5,2.5,1.000,1.5,3.0,4.5,4.3,0.8,0.0,0.8,1.5,8.5
14,2021,oganunoby,SF,23,TOR,3,3,36.0,4.7,9.0,.519,2.0,5.7,.353,2.7,3.3,.800,.630,1.3,2.0,.667,1.7,5.0,6.7,1.7,3.3,1.3,1.7,3.0,12.7
15,2021,ryanarcidiacono,PG,26,CHI,2,0,14.0,1.5,4.5,.333,0.5,2.5,.200,1.0,2.0,.500,.389,1.5,1.5,1.000,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0
16,2021,djaugustin,G,33,MIL,4,0,15.3,2.0,5.5,.364,1.5,3.5,.429,0.5,2.0,.250,.500,1.5,1.5,1.000,0.8,0.5,1.3,1.3,0.3,0.0,0.8,0.5,7.0
17,2021,deniavdija,G-F,20,WAS,4,4,26.3,2.8,5.3,.524,1.8,3.3,.538,1.0,2.0,.500,.690,0.3,0.8,.333,0.5,4.5,5.0,2.5,1.3,0.3,0.8,3.3,7.5
