,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,2021,Precious Achiuwa,PF,21,MIA,4,63,11.2,.591,.000,.381,10.2,16.6,13.7,5.2,0.7,3.0,19.7,21.1,,0.0,0.0,0.0,.009,,,,,
1,2021,Steven Adams,C,27,NOP,5,148,20.3,.657,.000,.118,13.3,19.0,16.2,10.6,2.3,4.8,14.4,12.1,,0.3,0.4,0.7,.223,,,,,
2,2021,Bam Adebayo,PF,23,MIA,4,123,21.9,.684,.000,.533,4.2,21.2,13.6,27.6,1.5,3.8,23.4,25.7,,0.3,0.1,0.4,.144,,,,,
3,2021,LaMarcus Aldridge,PF,35,SAS,3,78,9.3,.458,.289,.079,2.6,14.3,8.5,11.1,0.0,4.0,9.2,23.3,,-0.1,0.1,-0.1,-0.033,,,,,
4,2021,Ty-Shon Alexander,SG,22,PHO,2,5,-19.2,.000,.333,.000,0.0,22.2,11.0,23.6,0.0,0.0,0.0,26.7,,-0.1,0.0,-0.1,-0.489,,,,,
5,2021,Nickeil Alexander-Walker,SG,22,NOP,3,44,14.5,.532,.320,.120,0.0,9.8,4.9,21.0,3.3,0.0,16.0,30.7,,0.0,0.1,0.1,.063,,,,,
6,2021,Grayson Allen,SG,25,MEM,4,92,7.1,.414,.842,.474,4.4,7.9,6.1,13.4,0.5,0.9,11.6,11.5,,0.0,0.0,0.0,-0.007,,,,,
7,2021,Jarrett Allen,C,22,BRK,5,113,24.4,.730,.000,1.286,21.0,31.1,26.4,7.1,0.4,4.7,21.5,15.5,,0.4,0.2,0.7,.293,,,,,
8,2021,Kyle Anderson,SF,27,MEM,4,130,12.6,.560,.412,.275,3.1,24.7,13.8,17.1,0.0,2.0,19.7,22.2,,0.0,0.0,0.0,.008,,,,,
9,2021,Giannis Antetokounmpo,PF,26,MIL,5,157,23.7,.550,.293,.549,6.6,32.8,19.4,24.5,2.7,1.8,15.0,31.1,,0.3,0.3,0.6,.173,,,,,
10,2021,Kostas Antetokounmpo,PF,23,LAL,1,8,-9.1,.000,.000,.000,0.0,51.3,27.8,0.0,0.0,21.4,50.0,21.2,,-0.1,0.0,-0.1,-0.413,,,,,
11,2021,Thanasis Antetokounmpo,SF,28,MIL,4,46,9.1,.722,.222,.000,9.0,11.6,10.3,13.3,1.0,2.0,40.0,13.3,,0.0,0.0,0.0,.050,,,,,
12,2021,Carmelo Anthony,PF,36,POR,3,70,14.4,.530,.154,.615,1.6,14.0,7.8,8.6,2.1,0.0,5.7,21.9,,0.1,0.0,0.1,.057,,,,,
13,2021,Cole Anthony,PG,20,ORL,5,102,16.0,.458,.271,.313,6.7,19.0,12.6,26.1,1.4,0.0,8.4,24.1,,0.1,0.1,0.2,.097,,,,,
