,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2021,Precious Achiuwa,PF,21,MIA,8,0,15.1,2.9,4.9,.590,0.0,0.0,,2.9,4.9,.590,.590,1.5,2.8,.545,1.5,2.9,4.4,0.8,0.3,0.4,1.4,2.6,7.3
1,2021,Jaylen Adams,PG,24,MIL,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021,Steven Adams,C,27,NOP,9,9,31.1,4.4,6.7,.667,0.0,0.0,,4.4,6.7,.667,.667,1.4,3.0,.481,3.2,5.7,8.9,2.6,1.6,0.9,2.1,2.0,10.3
3,2021,Bam Adebayo,C,23,MIA,8,8,30.4,6.5,10.1,.642,0.0,0.0,,6.5,10.1,.642,.642,4.4,5.5,.795,1.1,7.9,9.0,5.0,1.0,1.0,3.4,2.6,17.4
4,2021,LaMarcus Aldridge,C,35,SAS,6,6,27.8,6.2,13.8,.446,1.3,4.5,.296,4.8,9.3,.518,.494,1.0,1.3,.750,0.8,3.7,4.5,2.0,0.5,0.8,1.0,2.2,14.7
5,2021,Ty-Shon Alexander,SG,22,PHO,2,0,2.5,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0
6,2021,Nickeil Alexander-Walker,SG,22,NOP,7,0,14.7,3.0,7.7,.389,1.0,3.6,.280,2.0,4.1,.483,.454,0.9,0.9,1.000,0.3,1.4,1.7,1.4,0.9,0.1,1.3,1.9,7.9
7,2021,Grayson Allen,SG,25,MEM,8,4,20.1,1.4,4.9,.282,1.1,3.9,.290,0.3,1.0,.250,.397,1.3,1.4,.909,0.8,1.8,2.5,1.8,0.9,0.1,0.9,0.8,5.1
8,2021,Jarrett Allen,C,22,BRK,10,3,25.1,3.5,5.2,.673,0.0,0.0,,3.5,5.2,.673,.673,4.3,5.7,.754,3.7,7.3,11.0,1.6,0.6,1.6,1.7,1.7,11.3
9,2021,Kyle Anderson,PF,27,MEM,9,9,30.4,5.2,12.6,.416,1.6,5.1,.304,3.7,7.4,.493,.478,2.1,2.4,.864,1.1,6.3,7.4,3.6,0.4,0.7,2.3,2.0,14.1
10,2021,Giannis Antetokounmpo,PF,26,MIL,9,9,31.3,9.7,18.3,.527,1.3,5.0,.267,8.3,13.3,.625,.564,6.4,10.3,.624,1.8,8.8,10.6,5.2,1.2,0.9,3.3,3.2,27.1
11,2021,Kostas Antetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
12,2021,Thanasis Antetokounmpo,SF,28,MIL,9,0,11.6,1.2,1.9,.647,0.1,0.6,.200,1.1,1.3,.833,.676,0.2,0.2,1.000,0.9,1.2,2.1,1.1,0.2,0.1,1.1,2.0,2.8
13,2021,Carmelo Anthony,PF,36,POR,8,0,23.9,3.6,9.1,.397,1.5,3.8,.400,2.1,5.4,.395,.479,3.4,3.9,.871,0.3,3.1,3.4,1.0,0.6,0.3,0.8,2.4,12.1
14,2021,Cole Anthony,PG,20,ORL,10,2,23.3,3.1,9.8,.316,0.5,2.9,.172,2.6,6.9,.377,.342,2.5,2.8,.893,1.1,3.2,4.3,3.3,0.5,0.2,1.5,1.7,9.2
15,2021,OG Anunoby,SF,23,TOR,8,8,34.5,4.1,9.3,.446,1.5,5.6,.267,2.6,3.6,.724,.527,2.5,3.6,.690,1.3,4.3,5.5,1.6,1.9,0.5,1.6,3.4,12.3
16,2021,Ryan Arcidiacono,PG,26,CHI,2,0,14.0,1.5,4.5,.333,0.5,2.5,.200,1.0,2.0,.500,.389,1.5,1.5,1.000,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0
17,2021,D.J. Augustin,PG,33,MIL,9,0,17.7,1.8,5.1,.348,1.3,3.6,.375,0.4,1.6,.286,.478,0.9,0.9,1.000,0.6,0.9,1.4,2.8,0.3,0.0,0.9,0.7,5.8
18,2021,Deni Avdija,SF,20,WAS,10,10,23.5,2.5,5.6,.446,1.6,3.5,.457,0.9,2.1,.429,.589,0.5,0.8,.625,0.3,3.6,3.9,2.3,1.1,0.3,0.5,2.6,7.1
19,2021,Deandre Ayton,C,22,PHO,10,10,30.7,5.6,9.5,.589,0.1,0.4,.250,5.5,9.1,.604,.595,1.6,2.5,.640,2.9,8.8,11.7,1.9,0.3,1.0,1.7,3.5,12.9
20,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2021,Udoka Azubuike,C,21,UTA,4,0,4.5,0.8,1.0,.750,0.0,0.0,,0.8,1.0,.750,.750,0.5,1.0,.500,0.3,0.5,0.8,0.0,0.3,0.3,0.0,0.5,2.0
