,Player,Tm,Pos,G,GS,MP,FG,FGA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PTS,Avg. Total,Total
0,preciousachiuwa,MIA,PF,8.0,0.0,15.1,1.45,-2.45,0.375,-0.7,1.875,2.9,1.2000000000000002,0.825,1.1,-1.4,7.3,12.475000000000001,99.80000000000001
1,jaylenadams,MIL,PG,1.0,0.0,1.0,0.0,-0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.5,-0.5
2,stevenadams,NOP,C,9.0,9.0,31.1,2.2,-3.35,0.35,-0.75,4.0,5.7,3.9000000000000004,4.4,2.475,-2.1,10.3,27.125,244.125
3,bamadebayo,MIA,C,8.0,8.0,30.4,3.25,-5.05,1.1,-1.375,1.375,7.9,7.5,2.75,2.75,-3.4,17.4,34.2,273.6
4,lamarcusaldridge,SAS,C,6.0,6.0,27.8,3.1,-6.9,0.25,-0.325,1.0,3.7,3.0,1.375,2.2,-1.0,14.7,21.099999999999998,126.6
5,tyshonalexander,PHO,SG,2.0,0.0,2.5,0.0,-0.75,0.0,-0.0,0.0,0.5,0.75,0.0,0.0,-0.0,0.0,0.5,1.0
6,nickeilalexanderwalker,NOP,SG,7.0,0.0,14.7,1.5,-3.85,0.225,-0.225,0.375,1.4,2.0999999999999996,2.475,0.275,-1.3,7.9,10.875,76.125
7,graysonallen,MEM,SG,8.0,4.0,20.1,0.7,-2.45,0.325,-0.35,1.0,1.8,2.7,2.475,0.275,-0.9,5.1,10.675,85.4
8,jarrettallen,BRK,C,10.0,3.0,25.1,1.75,-2.6,1.075,-1.425,4.625,7.3,2.4000000000000004,1.65,4.4,-1.7,11.3,28.775000000000006,287.75000000000006
9,kyleanderson,MEM,PF,9.0,9.0,30.4,2.6,-6.3,0.525,-0.6,1.375,6.3,5.4,1.1,1.9249999999999998,-2.3,14.1,24.125,217.125
10,giannisantetokounmpo,MIL,PF,9.0,9.0,31.3,4.85,-9.15,1.6,-2.575,2.25,8.8,7.800000000000001,3.3,2.475,-3.3,27.1,43.150000000000006,388.35
11,kostasantetokounmpo,LAL,PF,1.0,0.0,8.0,0.0,-1.0,0.0,-0.0,0.0,4.0,0.0,0.0,5.5,-2.0,0.0,6.5,6.5
12,thanasisantetokounmpo,MIL,SF,9.0,0.0,11.6,0.6,-0.95,0.05,-0.05,1.125,1.2,1.6500000000000001,0.55,0.275,-1.1,2.8,6.15,55.35
13,carmeloanthony,POR,PF,8.0,0.0,23.9,1.8,-4.55,0.85,-0.975,0.375,3.1,1.5,1.65,0.825,-0.8,12.1,15.875,127.0
14,coleanthony,ORL,PG,10.0,2.0,23.3,1.55,-4.9,0.625,-0.7,1.375,3.2,4.949999999999999,1.375,0.55,-1.5,9.2,15.724999999999998,157.24999999999997
15,oganunoby,TOR,SF,8.0,8.0,34.5,2.05,-4.65,0.625,-0.9,1.625,4.3,2.4000000000000004,5.225,1.375,-1.6,12.3,22.75,182.0
16,ryanarcidiacono,CHI,PG,2.0,0.0,14.0,0.75,-2.25,0.375,-0.375,0.0,3.0,3.0,2.75,0.0,-0.0,5.0,12.25,24.5
17,djaugustin,MIL,PG,9.0,0.0,17.7,0.9,-2.55,0.225,-0.225,0.75,0.9,4.199999999999999,0.825,0.0,-0.9,5.8,9.924999999999997,89.32499999999997
18,deniavdija,WAS,SF,10.0,10.0,23.5,1.25,-2.8,0.125,-0.2,0.375,3.6,3.4499999999999997,3.0250000000000004,0.825,-0.5,7.1,16.25,162.5
19,deandreayton,PHO,C,10.0,10.0,30.7,2.8,-4.75,0.4,-0.625,3.625,8.8,2.8499999999999996,0.825,2.75,-1.7,12.9,27.875,278.75
21,udokaazubuike,UTA,C,4.0,0.0,4.5,0.4,-0.5,0.125,-0.25,0.375,0.5,0.0,0.825,0.825,-0.0,2.0,4.3,17.2
22,dwaynebacon,ORL,SG,10.0,10.0,24.9,1.9,-4.3,0.2,-0.275,0.375,2.7,1.5,1.1,0.275,-0.8,9.1,11.775,117.75
23,marvinbagley,SAC,PF,10.0,10.0,25.7,2.4,-5.9,0.55,-0.925,3.125,5.6,1.2000000000000002,1.1,1.375,-2.0,12.7,19.225,192.25
24,lameloball,CHO,PG,10.0,0.0,24.9,2.35,-5.4,0.45,-0.625,2.5,4.3,8.850000000000001,4.125,0.825,-2.1,12.8,28.075000000000003,280.75
25,lonzoball,NOP,PG,9.0,9.0,33.4,2.4,-6.05,0.175,-0.275,0.5,3.9,6.6000000000000005,3.0250000000000004,1.9249999999999998,-2.9,12.4,21.7,195.29999999999998
26,mobamba,ORL,C,3.0,0.0,7.3,0.85,-1.85,0.0,-0.0,0.875,2.7,0.44999999999999996,0.0,0.825,-0.3,4.0,7.550000000000001,22.650000000000002
27,desmondbane,MEM,SG,9.0,0.0,23.1,1.55,-3.55,0.15,-0.175,0.75,2.3,1.5,2.2,0.0,-1.1,8.9,12.525,112.72500000000001
28,harrisonbarnes,SAC,PF,10.0,10.0,34.4,2.95,-5.8,0.85,-1.125,1.375,5.7,4.800000000000001,1.9249999999999998,0.825,-1.4,16.7,26.799999999999997,268.0
29,rjbarrett,NYK,SG,9.0,9.0,38.8,3.15,-8.35,0.925,-1.275,1.5,6.0,4.800000000000001,3.0250000000000004,0.55,-1.6,17.3,26.025000000000006,234.22500000000005
30,willbarton,DEN,SF,9.0,5.0,28.7,2.15,-5.3,0.35,-0.525,1.0,4.0,4.35,3.0250000000000004,1.9249999999999998,-1.1,11.2,21.075000000000003,189.675
31,keitabatesdiop,SAS,SF,2.0,0.0,1.0,0.0,-0.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.25,-0.5
32,nicolasbatum,LAC,SF,10.0,10.0,29.4,1.8,-3.6,0.375,-0.4,1.75,4.6,4.35,2.75,0.55,-0.8,10.5,21.875,218.75
33,aronbaynes,TOR,C,7.0,7.0,19.3,1.2,-3.2,0.0,-0.0,2.0,4.1,0.8999999999999999,0.275,0.0,-0.9,5.3,9.674999999999999,67.725
34,kentbazemore,GSW,SF,7.0,0.0,15.4,0.95,-1.85,0.075,-0.15,0.5,2.1,2.8499999999999996,1.65,0.825,-0.7,4.9,11.15,78.05
35,dariusbazley,OKC,PF,8.0,8.0,29.6,2.3,-5.55,0.35,-0.375,1.0,8.0,2.25,1.375,3.0250000000000004,-2.0,12.0,22.375,179.0
36,bradleybeal,WAS,SG,9.0,9.0,36.0,6.05,-12.4,2.075,-2.4,1.75,3.6,6.8999999999999995,3.575,1.9249999999999998,-3.6,35.0,42.475,382.27500000000003
37,malikbeasley,MIN,SG,9.0,9.0,32.0,3.45,-7.65,0.675,-0.75,0.875,4.1,2.8499999999999996,1.65,0.55,-1.3,18.9,23.349999999999998,210.14999999999998
38,deandre'bembry,TOR,SF,5.0,0.0,3.6,0.2,-0.4,0.0,-0.0,0.0,0.6,0.6000000000000001,0.55,0.55,-0.8,0.8,2.1,10.5
39,davisbertans,WAS,PF,10.0,0.0,24.0,1.6,-4.6,0.575,-0.7,0.75,2.6,1.9500000000000002,1.65,0.825,-0.5,11.2,15.35,153.5
40,patrickbeverley,LAC,PG,10.0,10.0,25.5,1.45,-3.3,0.225,-0.275,2.0,2.6,2.4000000000000004,2.2,1.375,-0.9,8.7,16.474999999999998,164.74999999999997
42,saddiqbey,DET,SF,8.0,3.0,22.9,1.65,-4.3,0.325,-0.45,0.5,4.5,1.35,1.65,0.0,-0.6,10.4,15.025,120.2
43,khembirch,ORL,C,10.0,0.0,19.9,1.5,-2.65,0.45,-0.5,3.125,3.5,1.35,2.75,1.1,-0.6,7.9,17.925,179.25
44,bismackbiyombo,CHO,C,10.0,9.0,26.8,1.7,-3.1,0.375,-0.75,3.625,4.2,3.1500000000000004,0.275,3.0250000000000004,-1.3,8.3,19.5,195.0
45,nemanjabjelica,SAC,PF,10.0,0.0,15.1,1.05,-2.55,0.475,-0.575,1.25,2.6,2.8499999999999996,0.0,0.55,-1.2,6.6,11.049999999999999,110.49999999999999
46,ericbledsoe,NOP,SG,9.0,9.0,29.9,2.1,-4.85,0.35,-0.5,0.75,2.7,6.449999999999999,3.0250000000000004,0.825,-2.0,11.8,20.650000000000002,185.85000000000002
47,keljinblevins,POR,SF,4.0,0.0,5.0,0.15,-0.75,0.0,-0.0,0.0,0.0,1.5,0.825,0.0,-0.8,0.5,1.425,5.7
48,bogdanbogdanovic,ATL,SG,9.0,2.0,23.7,1.65,-4.35,0.225,-0.25,0.25,3.6,3.1500000000000004,1.1,0.275,-1.2,9.9,14.350000000000001,129.15
49,bojanbogdanovic,UTA,SF,9.0,9.0,30.8,2.2,-6.1,0.35,-0.45,1.0,2.8,2.4000000000000004,0.825,0.275,-1.4,12.7,14.6,131.4
50,bolbol,DEN,PF,4.0,0.0,4.0,0.0,-0.5,0.0,-0.0,0.0,0.3,0.0,0.0,0.825,-0.0,0.0,0.625,2.5
51,marquesbolden,CLE,C,5.0,0.0,3.8,0.1,-0.2,0.25,-0.4,0.25,0.6,0.0,1.1,1.1,-0.0,1.4,4.2,21.0
52,jordanbone,ORL,PG,5.0,0.0,12.8,0.9,-1.9,0.0,-0.0,0.5,1.4,2.4000000000000004,0.0,0.0,-0.0,4.0,7.300000000000001,36.5
53,isaacbonga,WAS,SF,7.0,4.0,11.7,0.55,-0.95,0.0,-0.025,0.5,1.9,1.35,0.825,1.1,-0.4,3.0,7.85,54.949999999999996
54,devinbooker,PHO,SG,10.0,10.0,35.7,3.9,-8.1,1.05,-1.35,0.375,3.0,7.050000000000001,3.0250000000000004,0.825,-4.3,22.0,27.475,274.75
55,chrisboucher,TOR,C,8.0,0.0,20.8,2.45,-4.25,0.625,-0.875,2.375,4.1,1.5,1.65,5.775,-0.8,13.5,26.05,208.4
56,averybradley,MIA,SG,7.0,1.0,22.9,1.8,-3.65,0.25,-0.325,0.125,1.7,2.55,2.475,0.275,-0.7,10.0,14.5,101.5
57,tonybradley,PHI,C,2.0,0.0,21.0,1.75,-3.5,0.125,-0.375,5.625,7.0,1.5,1.375,4.125,-0.5,7.5,24.625,49.25
58,ignasbrazdeikis,NYK,SF,2.0,0.0,1.0,0.0,-0.25,0.25,-0.25,0.625,0.5,0.0,0.0,0.0,-0.0,1.0,1.875,3.75
59,mikalbridges,PHO,SF,10.0,10.0,33.5,2.55,-5.2,0.55,-0.625,1.625,4.1,1.7999999999999998,1.65,3.575,-0.3,15.2,24.924999999999997,249.24999999999997
60,milesbridges,CHO,PF,10.0,0.0,25.5,1.7,-3.9,0.2,-0.2,1.25,5.1,2.0999999999999996,1.65,3.0250000000000004,-1.9,9.1,18.125,181.25
61,malcolmbrogdon,IND,PG,9.0,9.0,37.4,4.4,-8.85,0.7,-0.775,0.875,3.7,10.8,4.95,0.275,-1.7,23.4,37.775,339.97499999999997
63,dillonbrooks,MEM,SF,9.0,9.0,30.0,3.35,-8.4,0.325,-0.425,2.0,2.6,4.5,4.675,0.825,-2.7,17.0,23.75,213.75
64,brucebrown,BRK,PG,6.0,3.0,12.7,0.65,-1.35,0.0,-0.05,0.25,2.5,1.5,0.55,0.55,-1.3,2.8,6.1,36.599999999999994
