,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Aaron Gordon,2.6,3.1,3.2,3.3,1.6,0.8,0.474,0.40700000000000003,0.33299999999999996,0.727,0.313,0.8
1,Aaron Holiday,1.4,2.1,0.3,0.0,0.0,0.2,0.43799999999999994,0.259,0.14300000000000002,0.0,0.0,0.5
2,Aaron Nesmith,0.0,1.0,1.0,0.7,0.0,0.7,0.0,0.14300000000000002,0.33299999999999996,1.0,0.0,1.0
3,Abdel Nader,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Adam Mokoka,0.4,0.6,0.0,0.4,0.0,0.0,0.33299999999999996,0.14300000000000002,0.0,1.0,0.0,0.0
5,Al Horford,0.5,6.8,0.3,2.4,1.4,0.5,0.33299999999999996,0.35200000000000004,0.25,0.9,0.33299999999999996,1.0
6,Alec Burks,3.7,6.0,7.3,1.0,0.0,0.7,0.429,0.667,0.75,0.5,0.0,0.0
7,Aleksej Pokusevski,0.0,0.9,0.7,0.6,0.0,0.0,0.0,0.105,0.28600000000000003,1.0,0.0,0.0
8,Alex Caruso,0.3,4.0,0.5,0.7,0.0,0.3,0.2,0.5,1.0,1.0,0.0,1.0
9,Alex Len,0.0,1.3,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.667,0.0,0.0
10,Alfonzo McKinnie,0.3,1.0,0.3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
11,Amir Coffey,0.6,0.8,0.3,0.0,0.0,0.0,0.5,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0
12,Andre Drummond,2.5,0.0,0.5,9.2,5.2,1.9,0.387,0.0,0.75,0.511,0.451,0.409
13,Andre Iguodala,0.0,3.9,0.4,0.0,0.0,0.0,0.0,0.409,0.25,0.0,0.0,0.0
14,Andrew Wiggins,5.5,4.1,4.9,1.4,0.7,0.0,0.413,0.368,0.40399999999999997,0.5379999999999999,0.5,0.0
15,Anfernee Simons,0.5,1.9,2.4,0.0,0.0,0.0,0.2,0.35700000000000004,0.41200000000000003,0.0,0.0,0.0
16,Anthony Davis,2.8,4.9,5.3,4.9,3.4,3.1,0.727,0.395,0.479,0.69,0.556,0.722
17,Anthony Edwards,4.0,3.6,2.0,0.8,0.0,0.2,0.395,0.4,0.18600000000000003,0.5710000000000001,0.0,0.5
18,Anthony Gill,0.0,0.8,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
19,Anzejs Pasecniks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Aron Baynes,0.0,1.9,0.0,2.9,0.0,0.3,0.0,0.25,0.0,0.47600000000000003,0.0,0.33299999999999996
21,Austin Rivers,4.6,5.6,2.4,0.0,0.0,0.3,0.6,0.44799999999999995,0.429,0.0,0.0,1.0
22,Avery Bradley,1.1,5.6,0.9,0.9,0.0,0.0,0.6,0.433,0.375,0.6,0.0,0.0
23,Bam Adebayo,2.0,2.0,2.0,8.5,1.4,2.8,0.556,0.47100000000000003,0.5,0.784,0.4,0.7
24,Ben McLemore,0.0,7.5,3.0,0.0,0.0,0.0,0.0,0.556,1.0,0.0,0.0,0.0
25,Ben Simmons,4.8,0.3,0.0,2.4,0.9,0.8,0.45899999999999996,0.5,0.0,0.688,0.667,0.375
26,Bismack Biyombo,0.0,0.2,0.0,6.2,0.2,1.5,0.0,0.25,0.0,0.58,0.5,0.583
27,Blake Griffin,1.7,2.9,3.9,0.9,3.3,1.3,0.5,0.318,0.243,0.667,0.353,0.8
28,Boban Marjanovic,0.0,0.0,0.7,3.8,1.0,1.2,0.0,0.0,0.667,0.733,0.5,0.75
29,Bobby Portis,0.7,3.8,1.3,4.4,0.9,1.8,0.5,0.516,0.35,0.778,0.556,0.6920000000000001
30,Bogdan Bogdanovic,0.9,7.0,0.4,0.0,0.0,0.0,0.33299999999999996,0.41200000000000003,0.125,0.0,0.0,0.0
31,Bojan Bogdanovic,2.0,5.0,2.5,2.5,0.2,0.6,0.233,0.304,0.41700000000000004,0.769,1.0,0.75
32,Bol Bol,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.0,0.0,0.0
33,Brad Wanamaker,1.6,0.9,1.3,0.6,0.0,0.1,0.385,0.3,0.313,1.0,0.0,0.0
34,Bradley Beal,12.3,4.8,12.2,2.2,0.0,0.6,0.512,0.415,0.483,0.667,0.0,0.75
35,Brandon Clarke,2.6,2.0,1.0,5.2,0.2,1.2,0.414,0.259,0.455,0.615,1.0,0.4
36,Brandon Goodwin,1.3,1.5,1.8,0.1,0.0,0.0,0.364,0.267,0.35700000000000004,0.0,0.0,0.0
